Timestamp,User,Action,Details
2026-06-02 11:57:38,pruthvi,Updated Settings,Onetechmated Solutions
2026-06-02 12:01:01,pruthvi,Updated Settings,Onetechmated Solutions
2026-06-04 16:11:38,pruthvi,Updated Settings,Onetechmated Solutions
2026-06-10 12:23:52,pruthvi,Added Transaction,Income - Invoice Payment - ₹943020.0
2026-06-10 12:25:31,pruthvi,Added Transaction,Expense - Salary Payment - ₹31750.0
2026-06-10 12:26:15,pruthvi,Added Transaction,Expense - Salary Payment - ₹348000.0
2026-06-10 12:26:37,pruthvi,Added Transaction,Expense - Salary Payment - ₹200000.0
2026-06-10 12:28:07,pruthvi,Added Transaction,Expense - Hardware & Equipment - ₹22500.0
